"Key            Name:Suffix                                Trend Definitions Used"
"Point_1:","1A042.2-29_1-P039 ROOM TEMP","","5 minutes"
"Point_2:","1AHU140.RM166.RMH","","5 minutes"
"Point_3:","","","5 minutes"
"Time Interval:","5 Minutes"
"Date Range:","4/6/2026 00:00:00 - 4/6/2026 23:55:00"
"Report Timings:","All Hours"
""
"<>Date","Time","Point_1","Point_2","Point_3"
"4/6/2026","05:15:00","21.4","47.0","16.1"
"4/6/2026","05:20:00","21.6","47.1","16.0"
"4/6/2026","05:25:00","21.8","46.8","17.1"
"4/6/2026","05:30:00","22.0","46.6","16.1"
"4/6/2026","05:35:00","21.6","48.7","16.0"
"4/6/2026","05:40:00","21.4","47.0","16.3"
"4/6/2026","05:45:00","21.6","47.0","16.6"
"4/6/2026","05:50:00","21.9","46.7","15.7"
"4/6/2026","05:55:00","22.0","46.6","16.1"
"4/6/2026","06:00:00","21.5","49.2","16.4"
"4/6/2026","06:05:00","21.4","46.9","16.1"
"4/6/2026","06:10:00","21.6","46.8","16.0"
"4/6/2026","06:15:00","21.8","46.8","15.6"
"4/6/2026","06:20:00","22.0","46.7","15.9"
"4/6/2026","06:25:00","21.6","48.9","15.2"
"4/6/2026","06:30:00","21.4","47.1","16.3"
"4/6/2026","06:35:00","21.7","47.0","15.9"
"4/6/2026","06:40:00","21.8","47.0","16.1"
"4/6/2026","06:45:00","22.0","46.9","16.0"
"4/6/2026","06:50:00","21.5","49.1","15.9"
"4/6/2026","06:55:00","21.5","47.0","15.6"
"4/6/2026","07:00:00","21.6","47.1","16.3"
"4/6/2026","07:05:00","21.9","47.0","16.1"
"4/6/2026","07:10:00","22.0","47.0","15.2"
"4/6/2026","07:15:00","21.5","49.2","15.5"
"4/6/2026","07:20:00","21.5","46.8","16.2"
"4/6/2026","07:25:00","21.7","47.3","15.9"
"4/6/2026","07:30:00","21.9","47.2","15.6"
"4/6/2026","07:35:00","22.0","47.1","15.3"
"4/6/2026","07:40:00","21.5","49.1","15.9"
"4/6/2026","07:45:00","21.6","46.9","16.3"
"4/6/2026","07:50:00","21.9","47.3","16.2"
"4/6/2026","07:55:00","22.0","47.3","16.1"
"4/6/2026","08:00:00","21.7","49.4","16.0"
"4/6/2026","08:05:00","21.5","47.5","20.8"
"4/6/2026","08:10:00","21.7","47.4","19.6"
"4/6/2026","08:15:00","21.9","47.0","26.9"
"4/6/2026","08:20:00","21.8","48.2","20.6"
"4/6/2026","08:25:00","21.7","46.5","20.9"
"4/6/2026","08:30:00","22.0","45.8","19.6"
"4/6/2026","08:35:00","22.2","45.8","16.0"
"4/6/2026","08:40:00","22.2","46.7","10.2"
"4/6/2026","08:45:00","21.3","49.4","11.8"
"4/6/2026","08:50:00","21.6","46.7","12.9"
"4/6/2026","08:55:00","21.9","45.8","13.9"
"4/6/2026","09:00:00","22.2","46.4","13.8"
"4/6/2026","09:05:00","22.3","47.1","13.4"
"4/6/2026","09:10:00","21.4","49.0","14.9"
"4/6/2026","09:15:00","21.6","46.9","15.4"
"4/6/2026","09:20:00","22.0","46.6","13.5"
"4/6/2026","09:25:00","21.7","48.5","12.9"
"4/6/2026","09:30:00","20.9","50.3","14.5"
"4/6/2026","09:35:00","21.2","47.1","14.9"
"4/6/2026","09:40:00","21.7","45.7","14.7"
"4/6/2026","09:45:00","21.4","48.9","0.7"
"4/6/2026","09:50:00","21.2","48.1","-0.1"
"4/6/2026","09:55:00","21.6","46.5","10.8"
"4/6/2026","10:00:00","21.9","46.5","17.0"
"4/6/2026","10:05:00","21.8","47.8","16.5"
"4/6/2026","10:10:00","21.2","49.5","17.8"
"4/6/2026","10:15:00","21.4","46.9","16.6"
"4/6/2026","10:20:00","21.7","47.0","17.5"
"4/6/2026","10:25:00","21.9","46.9","16.0"
"4/6/2026","10:30:00","21.7","48.9","16.1"
"4/6/2026","10:35:00","21.2","48.8","15.4"
"4/6/2026","10:40:00","21.4","47.1","15.0"
"4/6/2026","10:45:00","21.7","47.1","16.3"
"4/6/2026","10:50:00","21.9","47.0","15.9"
"4/6/2026","10:55:00","21.7","48.7","15.6"
"4/6/2026","11:00:00","21.1","49.2","15.9"
"4/6/2026","11:05:00","21.4","46.7","15.7"
"4/6/2026","11:10:00","21.6","47.2","17.0"
"4/6/2026","11:15:00","21.9","47.1","16.2"
"4/6/2026","11:20:00","21.8","48.0","15.5"
"4/6/2026","11:25:00","21.1","49.3","16.4"
"4/6/2026","11:30:00","21.4","46.9","16.2"
"4/6/2026","11:35:00","21.6","47.2","16.1"
"4/6/2026","11:40:00","21.9","47.1","15.2"
"4/6/2026","11:45:00","21.8","48.0","16.0"
"4/6/2026","11:50:00","21.1","49.3","17.5"
"4/6/2026","11:55:00","21.3","46.9","16.5"
"4/6/2026","12:00:00","21.6","47.0","16.2"
"4/6/2026","12:05:00","21.8","47.0","16.0"
"4/6/2026","12:10:00","21.7","48.0","14.7"
"4/6/2026","12:15:00","21.2","48.9","16.1"
"4/6/2026","12:20:00","21.4","46.8","16.1"
"4/6/2026","12:25:00","21.7","46.9","15.1"
"4/6/2026","12:30:00","22.0","46.6","15.2"
"4/6/2026","12:35:00","21.4","49.2","15.7"
"4/6/2026","12:40:00","21.3","47.4","15.9"
"4/6/2026","12:45:00","21.6","46.8","16.7"
"4/6/2026","12:50:00","21.7","46.9","15.9"
"4/6/2026","12:55:00","21.9","46.8","15.3"
"4/6/2026","13:00:00","21.3","49.2","15.8"
"4/6/2026","13:05:00","21.4","46.8","16.8"
"4/6/2026","13:10:00","21.7","46.8","17.8"
"4/6/2026","13:15:00","21.8","47.8","0.8"
"4/6/2026","13:20:00","21.0","49.6","0.3"
"4/6/2026","13:25:00","21.3","46.9","-0.1"
"4/6/2026","13:30:00","21.6","46.9","3.8"
"4/6/2026","13:35:00","22.0","46.1","1.2"
"4/6/2026","13:40:00","21.3","48.6","18.7"
"4/6/2026","13:45:00","21.5","46.1","16.8"
"4/6/2026","13:50:00","21.9","45.4","17.5"
"4/6/2026","13:55:00","22.2","45.6","17.7"
"4/6/2026","14:00:00","21.9","47.6","17.1"
"4/6/2026","14:05:00","21.6","46.9","15.0"
"4/6/2026","14:10:00","21.9","45.7","17.2"
"4/6/2026","14:15:00","22.2","45.4","16.9"
"4/6/2026","14:20:00","22.2","46.2","15.5"
"4/6/2026","14:25:00","21.8","46.7","17.5"
"4/6/2026","14:30:00","22.1","44.6","15.8"
"4/6/2026","14:35:00","22.4","44.5","16.9"
"4/6/2026","14:40:00","22.4","45.5","16.4"
"4/6/2026","14:45:00","21.8","46.6","16.6"
"4/6/2026","14:50:00","22.1","44.6","16.9"
"4/6/2026","14:55:00","22.4","44.5","16.9"
"4/6/2026","15:00:00","22.5","44.6","16.9"
"4/6/2026","15:05:00","22.0","46.7","20.0"
"4/6/2026","15:10:00","22.3","44.9","19.2"
"4/6/2026","15:15:00","22.6","44.1","17.3"
"4/6/2026","15:20:00","22.2","46.1","16.3"
"4/6/2026","15:25:00","21.8","46.4","15.4"
"4/6/2026","15:30:00","22.2","44.5","15.9"
"4/6/2026","15:35:00","22.6","43.9","15.9"
"4/6/2026","15:40:00","22.0","46.5","16.3"
"4/6/2026","15:45:00","21.9","46.0","11.9"
"4/6/2026","15:50:00","22.3","44.6","8.6"
"4/6/2026","15:55:00","22.5","44.1","8.4"
"4/6/2026","16:00:00","21.8","47.2","11.1"
"4/6/2026","16:05:00","21.7","46.1","12.1"
